Precinct,Contest Name,Candidate Name,Votes
"Toledo 1A","Governor / Lt. Governor","Cordray/Sutton","279"
"Toledo 1A","Governor / Lt. Governor","DeWine/Husted","243"
"Toledo 1A","Governor / Lt. Governor","Gadell-Newton/Joseph","12"
"Toledo 1A","Governor / Lt. Governor","Irvine/Grayson","10"
"Toledo 1A","Governor / Lt. Governor","Write-in","3"
"Toledo 1A","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1A","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1A","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1A","Attorney General","Steve Dettelbach","284"
"Toledo 1A","Attorney General","Dave Yost","250"
"Toledo 1A","Auditor of State","Robert C. Coogan","32"
"Toledo 1A","Auditor of State","Keith Faber","240"
"Toledo 1A","Auditor of State","Zack Space","257"
"Toledo 1A","Secretary of State","Kathleen Clyde","262"
"Toledo 1A","Secretary of State","Frank LaRose","243"
"Toledo 1A","Secretary of State","Dustin R. Nanna","20"
"Toledo 1A","Secretary of State","Write-in","4"
"Toledo 1A","Secretary of State","Michael W. Bradley","0"
"Toledo 1A","Treasurer of State","Rob Richardson","260"
"Toledo 1A","Treasurer of State","Robert Sprague","263"
"Toledo 1A","U.S. Senator","Sherrod Brown","322"
"Toledo 1A","U.S. Senator","Jim Renacci","214"
"Toledo 1A","U.S. Senator","Write-in","2"
"Toledo 1A","U.S. Senator","Stephen Faris","0"
"Toledo 1A","U.S. Representative Dist 9","Marcy Kaptur","319"
"Toledo 1A","U.S. Representative Dist 9","Steven W. Kraus","219"
"Toledo 1A","U.S. Representative Dist 9","Write-in","2"
"Toledo 1A","U.S. Representative Dist 9","McKenzie Levindofske","0"
"Toledo 1A","Sup Crt Justice 1-1-19","Craig Baldwin","143"
"Toledo 1A","Sup Crt Justice 1-1-19","Michael P. Donnelly","299"
"Toledo 1A","Sup Crt Justice 1-2-19","Mary DeGenaro","207"
"Toledo 1A","Sup Crt Justice 1-2-19","Melody J. Stewart","210"
"Toledo 1A","Appeals Crt Judge 2-9-19","Joel M. Kuhlman","157"
"Toledo 1A","Appeals Crt Judge 2-9-19","Gene A. Zmuda","306"
"Toledo 1A","State Senator Dist 11","Teresa Fedor","297"
"Toledo 1A","State Senator Dist 11","Ernest McCarthy","227"
"Toledo 1A","State Representative Dist 45","David Davenport","241"
"Toledo 1A","State Representative Dist 45","Lisa Sobecki","284"
"Toledo 1A","Judge Comm Pleas GEN 1-1-19","Myron C. Duhart","309"
"Toledo 1A","Judge Comm Pleas GEN 1-2-19","Stacy L. Cook","337"
"Toledo 1A","Judge Comm Pleas DR 1-3-19","David Lewandowski","341"
"Toledo 1A","Judge Comm Pleas GEN 1-4-19","Joshua W. Lanzinger","184"
"Toledo 1A","Judge Comm Pleas GEN 1-4-19","Joe McNamara","273"
"Toledo 1A","Judge Comm Pleas Juvenile 1-5-19","Connie F. Zemmelman","315"
"Toledo 1A","Judge Comm Pleas GEN 1-6-19","Linda J. Jennings","318"
"Toledo 1A","Judge Comm Pleas GEN 1-7-19","Gary G. Cook","327"
"Toledo 1A","County Commissioner","Gary L. Byers","222"
"Toledo 1A","County Commissioner","Sandy Spang","129"
"Toledo 1A","County Auditor","Anita Lopez","366"
"Toledo 1A","County Treasurer UNEX","Lori Brodie","248"
"Toledo 1A","County Treasurer UNEX","Lindsay M. Webb","285"
"Toledo 1A","State Board of Education 2nd District","Jeanine P. Donaldson","73"
"Toledo 1A","State Board of Education 2nd District","Charles Froehlich","42"
"Toledo 1A","State Board of Education 2nd District","Kirsten Hill","82"
"Toledo 1A","State Board of Education 2nd District","W. Roger Knight","41"
"Toledo 1A","State Board of Education 2nd District","Sue Larimer","46"
"Toledo 1A","State Board of Education 2nd District","Vicki Donovan Lyle","32"
"Toledo 1A","State Board of Education 2nd District","Annette Dudek Shine","47"
"Toledo 1A","1. State Issue Proposed Const. Amendment","YES","206"
"Toledo 1A","1. State Issue Proposed Const. Amendment","NO","326"
"Toledo 1A","5. Toledo CSD 6.67 mills Renewal","FOR THE TAX LEVY","275"
"Toledo 1A","5. Toledo CSD 6.67 mills Renewal","AGAINST THE TAX LEVY","253"
"Toledo 1A","6. Toledo CSD Renewal 5.8 mills","FOR THE TAX LEVY","294"
"Toledo 1A","6. Toledo CSD Renewal 5.8 mills","AGAINST THE TAX LEVY","233"
"Toledo 1A","9. Lucas County Children Services 1.85 mills Renewal","FOR THE TAX LEVY","325"
"Toledo 1A","9. Lucas County Children Services 1.85 mills Renewal","AGAINST THE TAX LEVY","194"
"Toledo 1A","10. Lucas County Jail 1.37 mills Bond","FOR THE BOND ISSUE","129"
"Toledo 1A","10. Lucas County Jail 1.37 mills Bond","AGAINST THE BOND ISS","401"
"Toledo 1A","11. Lucas County Mental Health 1 mill Renewal","FOR THE TAX LEVY","339"
"Toledo 1A","11. Lucas County Mental Health 1 mill Renewal","AGAINST THE TAX LEVY","186"
"Toledo 1A","12. Port Authority .4 mill Renewal","FOR THE TAX LEVY","315"
"Toledo 1A","12. Port Authority .4 mill Renewal","AGAINST THE TAX LEVY","207"
"Toledo 1A","15. City of Toledo Regional Water Charter Amendment","YES","297"
"Toledo 1A","15. City of Toledo Regional Water Charter Amendment","NO","219"
"Toledo 1B","Governor / Lt. Governor","Cordray/Sutton","170"
"Toledo 1B","Governor / Lt. Governor","DeWine/Husted","97"
"Toledo 1B","Governor / Lt. Governor","Gadell-Newton/Joseph","8"
"Toledo 1B","Governor / Lt. Governor","Irvine/Grayson","9"
"Toledo 1B","Governor / Lt. Governor","Write-in","2"
"Toledo 1B","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1B","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1B","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1B","Attorney General","Steve Dettelbach","173"
"Toledo 1B","Attorney General","Dave Yost","101"
"Toledo 1B","Auditor of State","Robert C. Coogan","9"
"Toledo 1B","Auditor of State","Keith Faber","100"
"Toledo 1B","Auditor of State","Zack Space","163"
"Toledo 1B","Secretary of State","Kathleen Clyde","167"
"Toledo 1B","Secretary of State","Frank LaRose","95"
